iter	Passed	Remaining
262	611	1714
263	613	1710
264	615	1706
265	617	1702
266	618	1698
267	620	1694
268	622	1690
269	623	1687
270	626	1684
271	628	1681
272	630	1677
273	631	1674
274	633	1670
275	635	1666
276	637	1663
277	639	1660
278	641	1657
279	642	1653
280	644	1649
281	646	1645
282	647	1641
283	649	1637
284	651	1633
285	653	1631
286	655	1628
287	657	1624
288	658	1620
289	660	1616
290	662	1613
291	663	1609
292	665	1605
293	666	1601
294	668	1597
295	670	1593
296	671	1590
297	673	1586
298	674	1582
299	676	1578
300	678	1574
301	679	1571
302	681	1568
303	683	1565
304	684	1560
305	686	1557
306	688	1553
307	689	1550
308	691	1545
309	692	1541
310	694	1538
311	695	1534
312	697	1530
313	699	1527
314	700	1523
315	702	1519
316	703	1516
317	705	1512
318	706	1508
319	708	1504
320	709	1500
321	710	1496
322	712	1493
323	713	1489
324	715	1485
325	716	1481
326	718	1478
327	719	1474
328	721	1471
329	722	1466
330	724	1463
331	725	1460
332	727	1457
333	729	1453
334	730	1450
335	732	1447
336	734	1444
337	735	1440
338	737	1437
339	738	1434
340	740	1430
341	741	1427
342	743	1423
343	744	1420
344	746	1417
345	747	1413
346	749	1410
347	751	1407
348	752	1403
349	754	1400
350	755	1396
351	757	1393
352	758	1390
353	760	1388
354	762	1384
355	764	1382
356	765	1379
357	767	1376
358	769	1373
359	770	1370
360	772	1366
361	773	1363
362	775	1360
363	777	1357
364	778	1354
365	780	1352
366	782	1349
367	784	1346
368	786	1344
369	787	1341
370	789	1338
371	791	1335
372	792	1332
373	794	1330
374	796	1327
375	797	1323
376	798	1320
377	800	1317
378	802	1314
379	803	1311
380	805	1308
381	806	1304
382	807	1301
383	809	1298
384	810	1295
385	812	1292
386	813	1289
387	815	1285
388	816	1282
389	818	1279
390	819	1277
391	821	1274
392	822	1270
393	824	1268
394	826	1265
395	827	1262
396	828	1258
397	830	1255
398	831	1252
399	832	1249
400	834	1246
401	836	1244
402	837	1241
403	839	1238
404	841	1235
405	842	1232
406	843	1229
407	845	1226
408	846	1223
409	848	1220
410	850	1218
411	851	1215
412	853	1213
413	855	1210
414	856	1207
415	858	1205
416	860	1202
417	861	1199
418	863	1197
419	865	1195
420	867	1192
421	869	1190
422	870	1187
423	872	1185
424	873	1181
425	875	1179
426	876	1176
427	879	1175
428	880	1172
429	882	1170
430	884	1167
431	886	1165
432	887	1162
433	889	1160
434	890	1157
435	892	1154
436	894	1152
437	896	1150
438	898	1148
439	899	1145
440	901	1142
441	903	1140
442	904	1137
443	906	1134
444	907	1132
445	909	1130
446	912	1128
447	914	1126
448	916	1124
449	918	1122
450	920	1120
451	922	1118
452	924	1116
453	926	1113
454	928	1111
455	930	1109
456	931	1107
457	933	1105
458	935	1102
459	937	1100
460	939	1098
461	941	1095
462	942	1093
463	944	1090
464	945	1088
465	947	1085
466	949	1083
467	950	1080
468	952	1078
469	953	1075
470	955	1073
471	957	1070
472	958	1068
473	960	1065
474	962	1063
475	963	1060
476	965	1058
477	966	1055
478	968	1053
479	970	1050
480	971	1048
481	973	1046
482	975	1043
483	976	1041
484	978	1038
485	979	1036
486	981	1033
487	983	1031
488	984	1029
489	986	1026
490	988	1024
491	989	1021
492	991	1019
493	992	1016
494	994	1014
495	996	1012
496	998	1010
497	999	1007
498	1001	1005
499	1003	1003
500	1005	1001
501	1006	998
502	1008	996
503	1009	993
504	1011	991
505	1013	988
506	1014	986
507	1016	984
508	1017	981
509	1019	979
510	1020	976
511	1022	974
512	1024	972
513	1026	970
514	1028	968
515	1030	966
516	1032	964
517	1033	961
518	1035	959
519	1036	957
520	1038	954
521	1040	952
522	1041	950
523	1043	947
524	1045	945
525	1047	943
526	1048	941
527	1050	939
528	1052	936
529	1053	934
530	1055	932
531	1057	930
532	1059	928
533	1061	926
534	1063	924
535	1064	921
536	1066	919
537	1068	917
538	1070	915
539	1072	913
540	1073	911
541	1076	909
542	1077	907
543	1079	905
544	1081	903
545	1083	901
546	1085	899
547	1088	897
548	1090	895
549	1092	893
550	1093	891
551	1095	889
552	1097	887
553	1099	885
554	1101	883
555	1103	881
556	1105	879
557	1107	877
558	1109	875
559	1111	873
560	1112	870
561	1114	868
562	1116	866
563	1118	864
564	1120	862
565	1121	860
566	1123	858
567	1125	856
568	1127	853
569	1129	851
570	1131	849
571	1133	847
572	1135	845
573	1136	843
574	1139	841
575	1140	839
576	1142	837
577	1144	835
578	1146	833
579	1148	831
580	1150	829
581	1152	827
582	1154	825
583	1155	823
584	1157	821
585	1159	819
586	1161	817
587	1163	814
588	1165	813
589	1167	811
590	1169	809
591	1171	807
592	1172	805
593	1174	802
594	1176	800
595	1178	798
596	1180	796
597	1182	794
598	1184	793
599	1186	791
600	1188	788
601	1190	787
602	1192	784
603	1193	782
604	1195	780
605	1197	778
606	1199	776
607	1201	774
608	1203	772
609	1204	770
610	1206	768
611	1208	766
612	1210	764
613	1212	762
614	1214	760
615	1216	758
616	1217	755
617	1219	753
618	1221	751
619	1224	750
620	1226	748
621	1228	746
622	1230	744
623	1231	742
624	1233	740
625	1235	738
626	1237	736
627	1239	734
628	1241	732
629	1243	730
630	1245	728
631	1246	726
632	1248	723
633	1250	721
634	1252	719
635	1253	717
636	1255	715
637	1257	713
638	1259	711
639	1261	709
640	1263	707
641	1265	705
642	1266	703
643	1268	701
644	1270	699
645	1272	697
646	1274	695
647	1275	693
648	1277	691
649	1279	689
650	1281	687
651	1283	685
652	1285	683
653	1287	681
654	1289	679
655	1291	677
656	1293	675
657	1294	673
658	1296	671
659	1298	669
660	1300	666
661	1302	665
662	1304	663
663	1305	660
664	1307	658
665	1309	656
666	1311	654
667	1312	652
668	1314	650
669	1315	648
670	1317	646
671	1319	643
672	1320	641
673	1322	639
674	1324	637
675	1326	635
676	1327	633
677	1329	631
678	1331	629
679	1332	627
680	1334	624
681	1336	623
682	1338	621
683	1339	618
684	1341	616
685	1343	614
686	1345	612
687	1346	610
688	1348	608
689	1349	606
690	1351	604
691	1352	602
692	1354	600
693	1356	598
694	1358	596
695	1360	594
696	1361	591
697	1363	590
698	1365	587
699	1366	585
700	1368	583
701	1370	581
702	1371	579
703	1373	577
704	1374	575
705	1376	573
706	1378	571
707	1380	569
708	1381	567
709	1383	564
710	1384	562
711	1387	561
712	1389	559
713	1391	557
714	1393	555
715	1394	553
716	1396	551
717	1398	549
718	1399	547
719	1401	545
720	1403	543
721	1405	541
722	1406	538
723	1408	536
724	1410	534
725	1411	532
726	1413	530
727	1415	528
728	1418	527
729	1420	525
730	1422	523
731	1423	521
732	1425	519
733	1426	516
734	1427	514
735	1429	512
736	1430	510
737	1432	508
738	1434	506
739	1435	504
740	1437	502
741	1439	500
742	1440	498
743	1442	496
744	1444	494
745	1447	492
746	1449	490
747	1450	488
748	1452	486
749	1454	484
750	1456	482
751	1458	480
752	1460	479
753	1462	477
754	1464	475
755	1465	473
756	1467	471
757	1469	469
758	1471	467
759	1474	465
760	1476	463
761	1477	461
762	1479	459
763	1481	457
764	1483	455
765	1484	453
766	1486	451
767	1488	449
768	1490	447
769	1493	446
770	1495	444
771	1497	442
772	1499	440
773	1500	438
774	1503	436
775	1506	434
776	1508	432
777	1510	430
778	1512	429
779	1514	427
780	1516	425
781	1518	423
782	1521	421
783	1523	419
784	1525	417
785	1527	415
786	1530	414
787	1532	412
788	1535	410
789	1537	408
790	1539	406
791	1542	405
792	1544	403
793	1547	401
794	1549	399
795	1552	397
796	1555	396
797	1558	394
798	1560	392
799	1563	390
800	1565	388
801	1568	387
802	1571	385
803	1573	383
804	1576	381
805	1579	380
806	1581	378
807	1584	376
808	1586	374
809	1588	372
810	1591	370
811	1594	369
812	1596	367
813	1599	365
814	1601	363
815	1604	361
816	1606	359
817	1609	358
818	1612	356
819	1615	354
820	1629	355
821	1632	353
822	1634	351
823	1637	349
824	1640	347
825	1642	346
826	1645	344
827	1648	342
828	1650	340
829	1653	338
830	1656	336
831	1658	334
832	1661	333
833	1664	331
834	1666	329
835	1670	327
836	1672	325
837	1675	323
838	1678	322
839	1681	320
840	1683	318
841	1686	316
842	1689	314
843	1692	312
844	1694	310
845	1696	308
846	1699	307
847	1702	305
848	1704	303
849	1707	301
850	1709	299
851	1713	297
852	1716	295
853	1718	293
854	1721	291
855	1724	290
856	1727	288
857	1731	286
858	1733	284
859	1735	282
860	1737	280
861	1740	278
862	1742	276
863	1744	274
864	1746	272
865	1749	270
866	1751	268
867	1753	266
868	1755	264
869	1758	262
870	1760	260
871	1763	258
872	1765	256
873	1767	254
874	1770	252
875	1773	250
876	1776	249
877	1778	247
878	1781	245
879	1783	243
880	1785	241
881	1787	239
882	1789	237
883	1792	235
884	1794	233
885	1796	231
886	1798	229
887	1800	227
888	1802	225
889	1804	223
890	1806	220
891	1808	219
892	1810	216
893	1812	214
894	1814	212
895	1816	210
896	1818	208
897	1820	206
898	1822	204
899	1824	202
900	1826	200
901	1828	198
902	1829	196
903	1832	194
904	1834	192
905	1837	190
906	1839	188
907	1841	186
908	1843	184
909	1844	182
910	1846	180
911	1849	178
912	1850	176
913	1852	174
914	1854	172
915	1856	170
916	1857	168
917	1859	166
918	1861	164
919	1863	162
920	1865	159
921	1866	157
922	1868	155
923	1870	153
924	1872	151
925	1873	149
926	1875	147
927	1877	145
928	1879	143
929	1881	141
930	1883	139
931	1884	137
932	1886	135
933	1888	133
934	1890	131
935	1892	129
936	1894	127
937	1896	125
938	1898	123
939	1899	121
940	1901	119
941	1903	117
942	1904	115
943	1906	113
944	1908	111
945	1910	109
946	1911	106
947	1921	105
948	1924	103
949	1926	101
950	1928	99
951	1930	97
952	1932	95
953	1934	93
954	1936	91
955	1938	89
956	1939	87
957	1941	85
958	1943	83
959	1945	81
960	1947	79
961	1949	77
962	1950	74
963	1953	72
964	1954	70
965	1956	68
966	1958	66
967	1960	64
968	1962	62
969	1963	60
970	1965	58
971	1967	56
972	1969	54
973	1971	52
974	1973	50
975	1974	48
976	1976	46
977	1978	44
978	1979	42
979	1981	40
980	1983	38
981	1984	36
982	1986	34
983	1987	32
984	1989	30
985	1990	28
986	1992	26
987	1994	24
988	1995	22
989	1997	20
990	1998	18
991	2001	16
992	2003	14
993	2005	12
994	2006	10
995	2008	8
996	2009	6
997	2010	4
998	2012	2
999	2014	0
